PARTICIPANT_A	INTERACTION_TYPE	PARTICIPANT_B
CHEBI:42444	chemical-affects	UQCRH
CHEBI:42444	chemical-affects	UQCRQ
CHEBI:42465	chemical-affects	PPBP
CHEBI:42471	chemical-affects	ADCY2
CHEBI:42471	chemical-affects	ADCY5
CHEBI:42471	chemical-affects	CFTR
CHEBI:42471	chemical-affects	GNAS
CHEBI:42491	chemical-affects	CYP1B1
CHEBI:42491	chemical-affects	ESRRA
CHEBI:42491	chemical-affects	ESRRB
CHEBI:42492	chemical-affects	IGHG1
CHEBI:42534	chemical-affects	AKR1C1
CHEBI:42534	chemical-affects	AKR1C2
CHEBI:42539	chemical-affects	LY96
CHEBI:42539	chemical-affects	TLR4
CHEBI:42548	chemical-affects	IGHG1
CHEBI:42549	chemical-affects	GRIA2
CHEBI:42564	chemical-affects	LTF
CHEBI:42566	chemical-affects	CA2
CHEBI:42567	chemical-affects	CDK6
CHEBI:42570	chemical-affects	PYGM
CHEBI:42589	chemical-affects	ACHE
CHEBI:42606	chemical-affects	AMY2A
CHEBI:42638	chemical-affects	AKR1C3
CHEBI:42638	chemical-affects	AR
CHEBI:42638	chemical-affects	PPARA
CHEBI:42638	chemical-affects	PPARG
CHEBI:42638	chemical-affects	PTGS1
CHEBI:42638	chemical-affects	PTGS2
CHEBI:42682	chemical-affects	OAT
CHEBI:42699	chemical-affects	PYGM
CHEBI:42768	chemical-affects	ODC1
CHEBI:42797	chemical-affects	ADORA1
CHEBI:42797	chemical-affects	CACNA1B
CHEBI:42797	chemical-affects	CACNA2D1
CHEBI:42797	chemical-affects	CACNA2D2
CHEBI:42797	chemical-affects	GABBR1
CHEBI:42797	chemical-affects	GABBR2
CHEBI:42797	chemical-affects	GRIN1
CHEBI:42797	chemical-affects	GRIN2A
CHEBI:42797	chemical-affects	GRIN2B
CHEBI:42797	chemical-affects	GRIN2C
CHEBI:42797	chemical-affects	GRIN2D
CHEBI:42797	chemical-affects	GRIN3A
CHEBI:42797	chemical-affects	GRIN3B
CHEBI:42820	chemical-affects	ALDH2
CHEBI:42820	chemical-affects	DLG4
CHEBI:42820	chemical-affects	GAMT
CHEBI:42820	chemical-affects	RNASE1
CHEBI:42843	chemical-affects	MMP8
CHEBI:42903	chemical-affects	DPP4
CHEBI:42917	chemical-affects	CCL5
CHEBI:42944	chemical-affects	ACHE
CHEBI:42944	chemical-affects	BCHE
CHEBI:42944	chemical-affects	CHRNA10
CHEBI:42944	chemical-affects	CHRNA1
CHEBI:42944	chemical-affects	CHRNA2
CHEBI:42944	chemical-affects	CHRNA3
CHEBI:42944	chemical-affects	CHRNA4
CHEBI:42944	chemical-affects	CHRNA5
CHEBI:42944	chemical-affects	CHRNA6
CHEBI:42944	chemical-affects	CHRNA7
CHEBI:42944	chemical-affects	CHRNA9
CHEBI:42944	chemical-affects	CHRNB1
CHEBI:42944	chemical-affects	CHRNB2
CHEBI:42944	chemical-affects	CHRNB3
CHEBI:42944	chemical-affects	CHRNB4
CHEBI:42944	chemical-affects	CHRND
CHEBI:42944	chemical-affects	CHRNE
CHEBI:42944	chemical-affects	CHRNG
CHEBI:43000	chemical-affects	ARF6
CHEBI:43000	chemical-affects	RAB11A
CHEBI:43000	chemical-affects	TGM3
CHEBI:43012	chemical-affects	IGKC
CHEBI:43040	chemical-affects	ADSSL1
CHEBI:43051	chemical-affects	CDK2
CHEBI:43053	chemical-affects	CCL5
CHEBI:4305	chemical-affects	PGD
CHEBI:4305	chemical-affects	POLA2
CHEBI:43065	chemical-affects	CPA1
CHEBI:43065	chemical-affects	RPL10L
CHEBI:43065	chemical-affects	RPL11
CHEBI:43065	chemical-affects	RPL13A
CHEBI:43065	chemical-affects	RPL15
CHEBI:43065	chemical-affects	RPL19
CHEBI:43065	chemical-affects	RPL23A
CHEBI:43065	chemical-affects	RPL23
CHEBI:43065	chemical-affects	RPL26L1
CHEBI:43065	chemical-affects	RPL37
CHEBI:43065	chemical-affects	RPL3
CHEBI:43065	chemical-affects	RPL8
CHEBI:43065	chemical-affects	RSL24D1
CHEBI:43065	chemical-affects	SNU13
CHEBI:43074	chemical-affects	HMGCR
CHEBI:43078	chemical-affects	HRAS
CHEBI:43078	chemical-affects	NR3C1
CHEBI:43078	chemical-affects	PLA2G1B
CHEBI:43081	chemical-affects	IGHG1
CHEBI:43088	chemical-affects	ARG1
CHEBI:43088	chemical-affects	NOS1
CHEBI:43088	chemical-affects	NOS2
CHEBI:43088	chemical-affects	NOS3
CHEBI:43120	chemical-affects	PAH
CHEBI:43127	chemical-affects	METAP1
CHEBI:43136	chemical-affects	GSTA1
CHEBI:4315	chemical-affects	AR
CHEBI:4315	chemical-affects	CCL2
CHEBI:4315	chemical-affects	ESR1
CHEBI:4315	chemical-affects	GNRHR2
CHEBI:4315	chemical-affects	GNRHR
CHEBI:4315	chemical-affects	PGR
CHEBI:43179	chemical-affects	MMP3
CHEBI:4317	chemical-affects	RYR1
CHEBI:43197	chemical-affects	ACOX1
CHEBI:43208	chemical-affects	RHO
CHEBI:43275	chemical-affects	PPT1
CHEBI:43278	chemical-affects	IGHG1
CHEBI:43278	chemical-affects	IGKC
CHEBI:43362	chemical-affects	PNP
CHEBI:43379	chemical-affects	NOS3
CHEBI:43385	chemical-affects	PKIA
CHEBI:43385	chemical-affects	PRKACA
CHEBI:43405	chemical-affects	CELA1
CHEBI:43415	chemical-affects	BCL2
CHEBI:43415	chemical-affects	CFTR
CHEBI:43415	chemical-affects	FABP2
CHEBI:43415	chemical-affects	GP1BA
CHEBI:43415	chemical-affects	PLAT
CHEBI:43415	chemical-affects	PPARA
CHEBI:43415	chemical-affects	PPARG
CHEBI:43415	chemical-affects	PTGS1
CHEBI:43415	chemical-affects	PTGS2
CHEBI:43415	chemical-affects	S100A7
CHEBI:43415	chemical-affects	SLC15A1
CHEBI:43415	chemical-affects	THBD
CHEBI:43460	chemical-affects	MAPK10
CHEBI:43467	chemical-affects	PNP
CHEBI:43486	chemical-affects	F10
CHEBI:43533	chemical-affects	REN
CHEBI:43561	chemical-affects	PKIA
CHEBI:43561	chemical-affects	PRKACA
CHEBI:4356	chemical-affects	APP
CHEBI:43575	chemical-affects	CDK2
CHEBI:43580	chemical-affects	PLA2G2E
CHEBI:43602	chemical-affects	NR1H4
CHEBI:43616	chemical-affects	MAP2K1
CHEBI:43616	chemical-affects	MET
CHEBI:43621	chemical-affects	RXRB
CHEBI:43636	chemical-affects	DPYD
CHEBI:43645	chemical-affects	AHR
CHEBI:43645	chemical-affects	CDK1
CHEBI:43645	chemical-affects	CDK2
CHEBI:43645	chemical-affects	CDK5R1
CHEBI:43645	chemical-affects	CDK5
CHEBI:43645	chemical-affects	GSK3B
CHEBI:43666	chemical-affects	DPP4
CHEBI:43741	chemical-affects	AKR1B1
CHEBI:43748	chemical-affects	REN
CHEBI:43755	chemical-affects	ACE
CHEBI:43765	chemical-affects	MAPK14
CHEBI:43769	chemical-affects	RARG
CHEBI:43812	chemical-affects	LCN9
CHEBI:43830	chemical-affects	ACHE
CHEBI:43858	chemical-affects	ACCS
CHEBI:43858	chemical-affects	IL4I1
CHEBI:43876	chemical-affects	GRM1
CHEBI:43896	chemical-affects	IGF2R
CHEBI:43896	chemical-affects	M6PR
CHEBI:4391	chemical-affects	ACHE
CHEBI:4391	chemical-affects	BCHE
CHEBI:439329	chemical-affects	HTR2C
CHEBI:439329	chemical-affects	SLC6A4
CHEBI:43943	chemical-affects	MBL2
CHEBI:43977	chemical-affects	DCPS
CHEBI:43977	chemical-affects	EIF4E
CHEBI:43983	chemical-affects	CXCL10
CHEBI:43993	chemical-affects	KIF11
CHEBI:44052	chemical-affects	CTRB1
CHEBI:44052	chemical-affects	PRSS1
CHEBI:44052	chemical-affects	PRSS2
CHEBI:44115	chemical-affects	GNLY
CHEBI:44120	chemical-affects	RAB5A
CHEBI:44138	chemical-affects	KIF11
CHEBI:44185	chemical-affects	DHFR
CHEBI:44188	chemical-affects	FGF1
CHEBI:44229	chemical-affects	F2
CHEBI:44229	chemical-affects	PRSS1
CHEBI:44241	chemical-affects	CYP11B1
CHEBI:44278	chemical-affects	ACE
CHEBI:44278	chemical-affects	ACHE
CHEBI:44278	chemical-affects	GBA
CHEBI:44278	chemical-affects	IGHG1
CHEBI:44278	chemical-affects	SIGLEC7
CHEBI:44296	chemical-affects	CHRNA9
CHEBI:44296	chemical-affects	KCNA1
CHEBI:44302	chemical-affects	EN2
CHEBI:44302	chemical-affects	SULT2B1
CHEBI:44303	chemical-affects	TH
CHEBI:44332	chemical-affects	HIF1AN
CHEBI:44343	chemical-affects	RMDN2
CHEBI:44348	chemical-affects	ERO1B
CHEBI:44348	chemical-affects	NSF
CHEBI:44356	chemical-affects	C1S
CHEBI:44369	chemical-affects	MAN1B1
CHEBI:44369	chemical-affects	MAN2A1
CHEBI:44394	chemical-affects	ACHE
CHEBI:44409	chemical-affects	ADH1B
CHEBI:44409	chemical-affects	AKR1A1
CHEBI:44409	chemical-affects	AKR1B10
CHEBI:44409	chemical-affects	AKR1B1
CHEBI:44409	chemical-affects	AKR1C1
CHEBI:44409	chemical-affects	AKR1C2
CHEBI:44409	chemical-affects	AKR1C3
CHEBI:44409	chemical-affects	BLVRB
CHEBI:44409	chemical-affects	CRYZ
CHEBI:44409	chemical-affects	DCXR
CHEBI:44409	chemical-affects	DECR1
CHEBI:44409	chemical-affects	DHFR
CHEBI:44409	chemical-affects	DHRS11
CHEBI:44409	chemical-affects	DHRS4L1
CHEBI:44409	chemical-affects	FDXR
CHEBI:44409	chemical-affects	G6PD
CHEBI:44409	chemical-affects	HMGCR
CHEBI:44409	chemical-affects	HSD11B1
CHEBI:44409	chemical-affects	HSD17B1
CHEBI:44409	chemical-affects	HSD17B8
CHEBI:44409	chemical-affects	IDH1
CHEBI:44409	chemical-affects	MDH1
CHEBI:44409	chemical-affects	ME1
CHEBI:44409	chemical-affects	MTHFD1
CHEBI:44409	chemical-affects	NNT
CHEBI:44409	chemical-affects	NOS1
CHEBI:44409	chemical-affects	POR
CHEBI:44409	chemical-affects	PTGR1
CHEBI:44409	chemical-affects	SPR
CHEBI:44423	chemical-affects	RRM1
CHEBI:44434	chemical-affects	FGF1
CHEBI:44445	chemical-affects	LTF
CHEBI:44445	chemical-affects	PLA2G2E
CHEBI:44445	chemical-affects	PTGS2
CHEBI:44454	chemical-affects	GSR
CHEBI:4445	chemical-affects	ATP2C1
CHEBI:4445	chemical-affects	ATP5F1D
CHEBI:4445	chemical-affects	GABRA1
CHEBI:4445	chemical-affects	GABRA2
CHEBI:4445	chemical-affects	GABRA3
CHEBI:4445	chemical-affects	GABRA4
CHEBI:4445	chemical-affects	GABRA5
CHEBI:4445	chemical-affects	GABRA6
CHEBI:4445	chemical-affects	GABRB1
CHEBI:4445	chemical-affects	GABRB2
CHEBI:4445	chemical-affects	GABRB3
CHEBI:4445	chemical-affects	GABRD
CHEBI:4445	chemical-affects	GABRE
CHEBI:4445	chemical-affects	GABRG1
CHEBI:4445	chemical-affects	GABRG2
CHEBI:4445	chemical-affects	GABRG3
CHEBI:4445	chemical-affects	GABRP
CHEBI:4445	chemical-affects	GABRQ
CHEBI:4445	chemical-affects	GLRA1
CHEBI:4445	chemical-affects	GRIA1
CHEBI:4445	chemical-affects	KCNA1
CHEBI:4445	chemical-affects	MT-ND1
CHEBI:44460	chemical-affects	HBA1
CHEBI:44460	chemical-affects	HBA2
CHEBI:44460	chemical-affects	HBB
CHEBI:44480	chemical-affects	IGHG1
CHEBI:44485	chemical-affects	CLC
CHEBI:44493	chemical-affects	PTPN1
CHEBI:44499	chemical-affects	IGHG1
CHEBI:44499	chemical-affects	LCN2
CHEBI:4450	chemical-affects	AVPR1A
CHEBI:4450	chemical-affects	AVPR1B
CHEBI:4450	chemical-affects	AVPR2
CHEBI:44515	chemical-affects	IGHV1-2
CHEBI:44515	chemical-affects	IGLV7-43
CHEBI:4453	chemical-affects	ESR1
CHEBI:4453	chemical-affects	PGR
CHEBI:44557	chemical-affects	LTF
CHEBI:44592	chemical-affects	IGHG1
CHEBI:44598	chemical-affects	IGKC
CHEBI:44612	chemical-affects	IGHG2
CHEBI:44616	chemical-affects	ESR1
CHEBI:44616	chemical-affects	ESR2
CHEBI:44616	chemical-affects	ESRRA
CHEBI:44616	chemical-affects	ESRRG
CHEBI:44616	chemical-affects	NR1I2
CHEBI:44616	chemical-affects	SHBG
CHEBI:44616	chemical-affects	TFF1
CHEBI:44632	chemical-affects	DPP4
CHEBI:44653	chemical-affects	EEF2
CHEBI:44653	chemical-affects	PARP15
CHEBI:44653	chemical-affects	PARP3
CHEBI:44658	chemical-affects	PPP1CC
CHEBI:4465	chemical-affects	HRH1
CHEBI:44661	chemical-affects	CDK1
CHEBI:44661	chemical-affects	CDK2
CHEBI:44661	chemical-affects	CDK5
CHEBI:44661	chemical-affects	MAPK1
CHEBI:44664	chemical-affects	ACHE
CHEBI:4466	chemical-affects	ADRA2A
CHEBI:44692	chemical-affects	ENO3
CHEBI:4469	chemical-affects	ADRA1A
CHEBI:4469	chemical-affects	ADRA1B
CHEBI:4469	chemical-affects	SLC18A2
CHEBI:4469	chemical-affects	SLC6A2
CHEBI:4469	chemical-affects	SLC6A3
CHEBI:4469	chemical-affects	TAAR1
CHEBI:4470	chemical-affects	CHRNA2
CHEBI:4470	chemical-affects	CHRNA3
CHEBI:4470	chemical-affects	CHRNA4
CHEBI:4470	chemical-affects	CHRNA7
CHEBI:4470	chemical-affects	CHRNB2
CHEBI:4470	chemical-affects	CHRNB4
CHEBI:4470	chemical-affects	CYBA
CHEBI:4470	chemical-affects	CYBB
CHEBI:4470	chemical-affects	GRIN3A
CHEBI:4470	chemical-affects	NCF1
CHEBI:4470	chemical-affects	NCF2
CHEBI:4470	chemical-affects	NCF4
CHEBI:4470	chemical-affects	OPRD1
CHEBI:4470	chemical-affects	OPRK1
CHEBI:4470	chemical-affects	OPRM1
CHEBI:4470	chemical-affects	PGRMC1
CHEBI:4470	chemical-affects	RAC1
CHEBI:4470	chemical-affects	RAC2
CHEBI:4470	chemical-affects	SIGMAR1
CHEBI:4470	chemical-affects	SLC6A2
CHEBI:4470	chemical-affects	SLC6A4
CHEBI:44722	chemical-affects	PYGM
CHEBI:44748	chemical-affects	CBR1
CHEBI:4474	chemical-affects	OPRK1
CHEBI:4474	chemical-affects	OPRM1
CHEBI:44751	chemical-affects	ACHE
CHEBI:44789	chemical-affects	CAD
CHEBI:44794	chemical-affects	ENPP1
CHEBI:44794	chemical-affects	HTATIP2
CHEBI:44804	chemical-affects	PDE10A
CHEBI:44811	chemical-affects	GM2A
CHEBI:44811	chemical-affects	PTAFR
CHEBI:44828	chemical-affects	LDHB
CHEBI:44842	chemical-affects	FYN
CHEBI:44842	chemical-affects	PFN2
CHEBI:44842	chemical-affects	PPIF
CHEBI:44897	chemical-affects	ENO3
CHEBI:44897	chemical-affects	PCK1
CHEBI:44903	chemical-affects	ADH1C
CHEBI:44915	chemical-affects	GABRA1
CHEBI:44915	chemical-affects	GABRA2
CHEBI:44915	chemical-affects	GABRA3
CHEBI:44915	chemical-affects	GABRA4
CHEBI:44915	chemical-affects	GABRA5
CHEBI:44915	chemical-affects	GABRA6
CHEBI:44915	chemical-affects	GABRB1
CHEBI:44915	chemical-affects	GABRB2
CHEBI:44915	chemical-affects	GABRB3
CHEBI:44915	chemical-affects	GABRD
CHEBI:44915	chemical-affects	GABRE
CHEBI:44915	chemical-affects	GABRG1
CHEBI:44915	chemical-affects	GABRG2
CHEBI:44915	chemical-affects	GABRG3
CHEBI:44915	chemical-affects	GABRP
CHEBI:44915	chemical-affects	GABRQ
CHEBI:44915	chemical-affects	SCN2A
CHEBI:44915	chemical-affects	SCN4A
CHEBI:44919	chemical-affects	PDE10A
CHEBI:44930	chemical-affects	IGHG1
CHEBI:44932	chemical-affects	ADRA1A
CHEBI:44932	chemical-affects	ADRA1B
CHEBI:44932	chemical-affects	DRD1
CHEBI:44932	chemical-affects	DRD2
CHEBI:44932	chemical-affects	HTR1A
CHEBI:44932	chemical-affects	HTR2A
CHEBI:44934	chemical-affects	PFN2
CHEBI:44939	chemical-affects	IGHG1
CHEBI:44940	chemical-affects	ALPP
CHEBI:44940	chemical-affects	IGKC
CHEBI:4495	chemical-affects	ATP1A1
CHEBI:4495	chemical-affects	CA1
CHEBI:4495	chemical-affects	CA2
CHEBI:4495	chemical-affects	KCNJ11
CHEBI:4495	chemical-affects	KCNMA1
CHEBI:4495	chemical-affects	SLC12A3
CHEBI:4496	chemical-affects	CADPS2
CHEBI:4496	chemical-affects	CADPS
CHEBI:4496	chemical-affects	CALB2
CHEBI:4496	chemical-affects	CALM1
CHEBI:4496	chemical-affects	CALM2
CHEBI:4496	chemical-affects	CALM3
CHEBI:4496	chemical-affects	CALR3
CHEBI:4496	chemical-affects	CALR
CHEBI:4496	chemical-affects	CANX
CHEBI:4496	chemical-affects	CAPS
CHEBI:4496	chemical-affects	CASQ1
CHEBI:4496	chemical-affects	CASQ2
CHEBI:4496	chemical-affects	CASR
CHEBI:4496	chemical-affects	CHP1
CHEBI:4496	chemical-affects	CIB1
CHEBI:4496	chemical-affects	CIB2
CHEBI:4496	chemical-affects	FBN2
CHEBI:4496	chemical-affects	FBN3
CHEBI:4496	chemical-affects	GCA
CHEBI:4496	chemical-affects	NCS1
CHEBI:4496	chemical-affects	NRXN1
CHEBI:4496	chemical-affects	NUCB1
CHEBI:4496	chemical-affects	NUCB2
CHEBI:4496	chemical-affects	PDCD6
CHEBI:4496	chemical-affects	PEF1
CHEBI:4496	chemical-affects	RGN
CHEBI:4496	chemical-affects	S100A13
CHEBI:4496	chemical-affects	S100A16
CHEBI:4496	chemical-affects	S100A6
CHEBI:4496	chemical-affects	S100B
CHEBI:4496	chemical-affects	SPARC
CHEBI:4496	chemical-affects	SRI
CHEBI:4496	chemical-affects	TPT1
CHEBI:44995	chemical-affects	HPRT1
CHEBI:45002	chemical-affects	IGHG1
CHEBI:45007	chemical-affects	MAPK14
CHEBI:45013	chemical-affects	PKM
CHEBI:45030	chemical-affects	MMP13
CHEBI:45039	chemical-affects	CHEK1
CHEBI:45058	chemical-affects	MAPK14
CHEBI:45068	chemical-affects	IGHG1
CHEBI:45081	chemical-affects	TRDMT1
CHEBI:45113	chemical-affects	LCN9
CHEBI:45116	chemical-affects	MAPK14
CHEBI:45127	chemical-affects	PRKCD
CHEBI:4513	chemical-affects	CRYZ
CHEBI:4513	chemical-affects	NQO1
CHEBI:4513	chemical-affects	VKORC1
CHEBI:4514	chemical-affects	CHRM1
CHEBI:4514	chemical-affects	CHRM2
CHEBI:4518	chemical-affects	ESR1
CHEBI:4518	chemical-affects	SHBG
CHEBI:45223	chemical-affects	CTSB
CHEBI:45257	chemical-affects	P4HB
CHEBI:45260	chemical-affects	ADH1A
CHEBI:45260	chemical-affects	ADH1B
CHEBI:45260	chemical-affects	ADH1C
CHEBI:45262	chemical-affects	RNASE1
CHEBI:4527	chemical-affects	ALOX5
CHEBI:4527	chemical-affects	PTGS1
CHEBI:453011	chemical-affects	ATP1A1
CHEBI:45307	chemical-affects	CDK1
CHEBI:45307	chemical-affects	CDK2
CHEBI:45307	chemical-affects	CDK7
CHEBI:45307	chemical-affects	CDK9
CHEBI:45307	chemical-affects	CSNK1E
CHEBI:45307	chemical-affects	MAPK1
CHEBI:45307	chemical-affects	MAPK3
CHEBI:4530	chemical-affects	SLC6A2
CHEBI:4530	chemical-affects	SLC6A3
CHEBI:45353	chemical-affects	KEL
CHEBI:45353	chemical-affects	MME
CHEBI:45360	chemical-affects	PLA2G1B
CHEBI:45367	chemical-affects	HSP90AA1
CHEBI:45367	chemical-affects	HSP90B1
CHEBI:45395	chemical-affects	TPK1
CHEBI:45409	chemical-affects	NR1I2
CHEBI:45425	chemical-affects	NUDT9
CHEBI:45441	chemical-affects	F13A1
CHEBI:45492	chemical-affects	CDK2
CHEBI:45496	chemical-affects	IGHG2
CHEBI:4551	chemical-affects	ATP1A1
CHEBI:45560	chemical-affects	FGF1
CHEBI:45560	chemical-affects	FGFR2
CHEBI:45564	chemical-affects	ALAD
CHEBI:45565	chemical-affects	DPP4
CHEBI:45571	chemical-affects	PLA2G1B
CHEBI:45573	chemical-affects	IGHG1
CHEBI:45573	chemical-affects	IGKC
CHEBI:45573	chemical-affects	IGKV2D-28
CHEBI:45619	chemical-affects	PREP
CHEBI:4562	chemical-affects	ADRA2A
CHEBI:4562	chemical-affects	HTR1B
CHEBI:4562	chemical-affects	HTR1D
CHEBI:4562	chemical-affects	HTR2B
CHEBI:45630	chemical-affects	ALAD
CHEBI:45636	chemical-affects	PRSS3
CHEBI:45652	chemical-affects	CHRFAM7A
CHEBI:45652	chemical-affects	CHRM1
CHEBI:45652	chemical-affects	CHRM2
CHEBI:45652	chemical-affects	CHRM3
CHEBI:45652	chemical-affects	CHRNA10
CHEBI:45658	chemical-affects	CTSD
CHEBI:45658	chemical-affects	MGMT
CHEBI:45713	chemical-affects	AHR
CHEBI:45713	chemical-affects	AKT1
CHEBI:45713	chemical-affects	ALOX15
CHEBI:45713	chemical-affects	ALOX5
CHEBI:45713	chemical-affects	APP
CHEBI:45713	chemical-affects	CBR1
CHEBI:45713	chemical-affects	CLEC14A
CHEBI:45713	chemical-affects	CSNK2A1
CHEBI:45713	chemical-affects	ESR1
CHEBI:45713	chemical-affects	ITGA5
CHEBI:45713	chemical-affects	ITGB3
CHEBI:45713	chemical-affects	KHSRP
CHEBI:45713	chemical-affects	MTNR1A
CHEBI:45713	chemical-affects	MTNR1B
CHEBI:45713	chemical-affects	NQO2
CHEBI:45713	chemical-affects	NR1I2
CHEBI:45713	chemical-affects	NR1I3
CHEBI:45713	chemical-affects	PI4K2B
CHEBI:45713	chemical-affects	PPARA
CHEBI:45713	chemical-affects	PPARG
CHEBI:45713	chemical-affects	PTGS1
CHEBI:45713	chemical-affects	PTGS2
CHEBI:45713	chemical-affects	SLC2A1
CHEBI:45713	chemical-affects	SNCA
CHEBI:45713	chemical-affects	YARS
CHEBI:45716	chemical-affects	HDAC1
CHEBI:45716	chemical-affects	HDAC2
CHEBI:45716	chemical-affects	HDAC3
CHEBI:45716	chemical-affects	HDAC6
CHEBI:45716	chemical-affects	HDAC8
CHEBI:45735	chemical-affects	NR1I2
CHEBI:4575	chemical-affects	OPRD1
CHEBI:4575	chemical-affects	OPRK1
CHEBI:4575	chemical-affects	OPRM1
CHEBI:4575	chemical-affects	POMC
CHEBI:4575	chemical-affects	TRIM13
CHEBI:45783	chemical-affects	ABL1
CHEBI:45783	chemical-affects	CSF1R
CHEBI:45783	chemical-affects	DDR1
CHEBI:45783	chemical-affects	KIT
CHEBI:45783	chemical-affects	NTRK1
CHEBI:45783	chemical-affects	PDGFRA
CHEBI:45783	chemical-affects	PDGFRB
CHEBI:45783	chemical-affects	RET
CHEBI:45825	chemical-affects	IGKC
CHEBI:4582	chemical-affects	LTA4H
CHEBI:45863	chemical-affects	BCL2
CHEBI:45863	chemical-affects	MAP2
CHEBI:45863	chemical-affects	MAP4
CHEBI:45863	chemical-affects	MAPT
CHEBI:45863	chemical-affects	NR1I2
CHEBI:45863	chemical-affects	TUBB1
CHEBI:45895	chemical-affects	CALM1
CHEBI:45895	chemical-affects	METAP2
CHEBI:45895	chemical-affects	RNASE1
CHEBI:45895	chemical-affects	TPI1
CHEBI:45906	chemical-affects	F2
CHEBI:45906	chemical-affects	FSHR
CHEBI:45906	chemical-affects	P2RY2
CHEBI:45906	chemical-affects	PLA2G2A
CHEBI:45906	chemical-affects	RYR1
CHEBI:45906	chemical-affects	SIRT5
CHEBI:45919	chemical-affects	PLA2G1B
CHEBI:45919	chemical-affects	PLA2G2A
CHEBI:45919	chemical-affects	PLA2G2E
CHEBI:4591	chemical-affects	VDR
CHEBI:45924	chemical-affects	DHFR
CHEBI:45924	chemical-affects	TYMS
CHEBI:45927	chemical-affects	TP53
CHEBI:45928	chemical-affects	PTPN1
CHEBI:45951	chemical-affects	ADRA1A
CHEBI:45951	chemical-affects	CALM1
CHEBI:45951	chemical-affects	CALY
CHEBI:45951	chemical-affects	DRD2
CHEBI:45951	chemical-affects	S100A4
CHEBI:45951	chemical-affects	TNNC1
CHEBI:45969	chemical-affects	ACO2
CHEBI:45980	chemical-affects	ACHE
CHEBI:45980	chemical-affects	BCHE
CHEBI:45980	chemical-affects	CES1
CHEBI:45981	chemical-affects	SHMT1
CHEBI:45993	chemical-affects	AHR
CHEBI:45993	chemical-affects	F2
CHEBI:46020	chemical-affects	GALE
CHEBI:46024	chemical-affects	HDAC7
CHEBI:46024	chemical-affects	HDAC8
CHEBI:46032	chemical-affects	HBA1
CHEBI:46032	chemical-affects	HBA2
CHEBI:46032	chemical-affects	HBB
CHEBI:4604	chemical-affects	HRH1
CHEBI:46099	chemical-affects	IGKC
CHEBI:46117	chemical-affects	CTSD
CHEBI:46122	chemical-affects	CDK2
CHEBI:46151	chemical-affects	IGHV3-30
CHEBI:46195	chemical-affects	FAAH
CHEBI:46195	chemical-affects	GSTP1
CHEBI:46195	chemical-affects	PTGS1
CHEBI:46195	chemical-affects	PTGS2
CHEBI:46195	chemical-affects	TRPV1
CHEBI:46209	chemical-affects	YARS
CHEBI:46229	chemical-affects	GALE
CHEBI:46229	chemical-affects	GLT6D1
CHEBI:46229	chemical-affects	GYG1
CHEBI:46234	chemical-affects	SDHA
CHEBI:46234	chemical-affects	SDHB
CHEBI:46234	chemical-affects	SDHC
CHEBI:46234	chemical-affects	SDHD
CHEBI:46245	chemical-affects	NDUFV3
CHEBI:46245	chemical-affects	SDHA
CHEBI:46295	chemical-affects	PDE5A
CHEBI:46295	chemical-affects	PDE6G
CHEBI:46295	chemical-affects	PDE6H
CHEBI:46311	chemical-affects	PLAU
CHEBI:4631	chemical-affects	AHR
CHEBI:46322	chemical-affects	RNASE1
CHEBI:46322	chemical-affects	RNASE4
CHEBI:46345	chemical-affects	TYMS
CHEBI:4636	chemical-affects	CHRM2
CHEBI:4636	chemical-affects	HRH1
CHEBI:46371	chemical-affects	DPYD
CHEBI:46372	chemical-affects	CYC1
CHEBI:46372	chemical-affects	MT-CYB
CHEBI:46372	chemical-affects	UQCR10
CHEBI:46372	chemical-affects	UQCR11
CHEBI:46372	chemical-affects	UQCRB
CHEBI:46372	chemical-affects	UQCRC1
CHEBI:46372	chemical-affects	UQCRC2
CHEBI:46372	chemical-affects	UQCRFS1
CHEBI:46372	chemical-affects	UQCRH
CHEBI:46372	chemical-affects	UQCRQ
CHEBI:4638	chemical-affects	CHRM1
CHEBI:4638	chemical-affects	CHRM2
CHEBI:4638	chemical-affects	CHRM3
CHEBI:4639	chemical-affects	OPRD1
CHEBI:4639	chemical-affects	OPRM1
CHEBI:46406	chemical-affects	CYC1
CHEBI:46406	chemical-affects	MT-CYB
CHEBI:46406	chemical-affects	UQCR10
CHEBI:46406	chemical-affects	UQCR11
CHEBI:46406	chemical-affects	UQCRB
CHEBI:46406	chemical-affects	UQCRC1
CHEBI:46406	chemical-affects	UQCRC2
CHEBI:46406	chemical-affects	UQCRFS1
CHEBI:46406	chemical-affects	UQCRH
CHEBI:46406	chemical-affects	UQCRQ
CHEBI:46416	chemical-affects	RPL37
CHEBI:4646	chemical-affects	ACHE
CHEBI:4646	chemical-affects	ADRA1A
CHEBI:4646	chemical-affects	ADRA2A
CHEBI:4646	chemical-affects	ADRB2
CHEBI:4646	chemical-affects	BCHE
CHEBI:46475	chemical-affects	CA2
CHEBI:46475	chemical-affects	MIF
CHEBI:4650	chemical-affects	OPRD1
CHEBI:4650	chemical-affects	OPRK1
CHEBI:4650	chemical-affects	OPRM1
CHEBI:4650	chemical-affects	TRIM13
CHEBI:46534	chemical-affects	SOD2
